commodity,scenario,severity,horizon_months,threshold,prob_exceed
rubber,el_nino,0.25,12,0.2,0.4092
rubber,el_nino,0.5,3,0.05,0.53
rubber,el_nino,0.5,3,0.1,0.3732
rubber,el_nino,0.5,3,0.15,0.245
rubber,el_nino,0.5,3,0.2,0.1468
rubber,el_nino,0.5,6,0.05,0.627
rubber,el_nino,0.5,6,0.1,0.5207
rubber,el_nino,0.5,6,0.15,0.4158
rubber,el_nino,0.5,6,0.2,0.3291
rubber,el_nino,0.5,12,0.05,0.7291
rubber,el_nino,0.5,12,0.1,0.6659
rubber,el_nino,0.5,12,0.15,0.6015
rubber,el_nino,0.5,12,0.2,0.5317
rubber,el_nino,0.75,3,0.05,0.5886
rubber,el_nino,0.75,3,0.1,0.4385
rubber,el_nino,0.75,3,0.15,0.2993
rubber,el_nino,0.75,3,0.2,0.1885
rubber,el_nino,0.75,6,0.05,0.7038
rubber,el_nino,0.75,6,0.1,0.6107
rubber,el_nino,0.75,6,0.15,0.508
rubber,el_nino,0.75,6,0.2,0.4097
rubber,el_nino,0.75,12,0.05,0.821
rubber,el_nino,0.75,12,0.1,0.7678
rubber,el_nino,0.75,12,0.15,0.7122
rubber,el_nino,0.75,12,0.2,0.6548
rubber,el_nino,1.0,3,0.05,0.6484
rubber,el_nino,1.0,3,0.1,0.506
rubber,el_nino,1.0,3,0.15,0.3604
rubber,el_nino,1.0,3,0.2,0.236
rubber,el_nino,1.0,6,0.05,0.7747
rubber,el_nino,1.0,6,0.1,0.6904
rubber,el_nino,1.0,6,0.15,0.6003
rubber,el_nino,1.0,6,0.2,0.5007
rubber,el_nino,1.0,12,0.05,0.8857
rubber,el_nino,1.0,12,0.1,0.8513
rubber,el_nino,1.0,12,0.15,0.807
rubber,el_nino,1.0,12,0.2,0.7573
rubber,el_nino,1.25,3,0.05,0.7046
rubber,el_nino,1.25,3,0.1,0.5677
rubber,el_nino,1.25,3,0.15,0.4204
rubber,el_nino,1.25,3,0.2,0.2907
rubber,el_nino,1.25,6,0.05,0.8333
